Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D71,CD4148W,DIODE_1206_SawnsProjects,217.4115,-57.649999,90,bottom
D72,CD4148W,DIODE_1206_SawnsProjects,226.218751,-76.7,90,bottom
D74,CD4148W,DIODE_1206_SawnsProjects,231.699,-0.5,90,bottom
D75,CD4148W,DIODE_1206_SawnsProjects,241.224,-19.55,90,bottom
D76,CD4148W,DIODE_1206_SawnsProjects,231.05,-38.6,90,bottom
D77,CD4148W,DIODE_1206_SawnsProjects,253.13025,-57.65,90,bottom
D78,CD4148W,DIODE_1206_SawnsProjects,247.60525,-76.7,90,bottom
D80,CD4148W,DIODE_1206_SawnsProjects,238.05,-0.5,90,bottom
D81,CD4148W,DIODE_1206_SawnsProjects,265.036499,-19.55,90,bottom
D83,CD4148W,DIODE_1206_SawnsProjects,269.799,-57.65,90,bottom
D84,CD4148W,DIODE_1206_SawnsProjects,271.41775,-76.7,90,bottom
J4,Conn_01x04,JST-SR-4,40.75,-8.499998,-90,bottom
Q1,DTC123J,SC-59,17.6,-42.544193,0,bottom
R1,1k5,R_0402,12.554947,-28.942895,180,bottom
R2,22R,R_0402,12.554947,-29.942895,0,bottom
R3,22R,R_0402,12.554947,-30.942895,180,bottom
R4,300R,R_0402,10.213749,-42.699999,90,bottom
R5,100R,R_0402,24,-36.794193,180,bottom
R6,330k (1%),R_0402,16.75,-39.894193,0,bottom
R7,1M (1%),R_0402,16.25,-38.444193,-90,bottom
R10,300R,R_0402,3.18125,-66.484375,90,bottom
RGB1,SK6812_Mini_3535,SK6812_Mini_3535,-2.38125,-7.14375,0,bottom
RGB2,SK6812_Mini_3535,SK6812_Mini_3535,16.043751,-7.14375,0,bottom
RGB3,SK6812_Mini_3535,SK6812_Mini_3535,50.72055,-7.14375,0,bottom
RGB4,SK6812_Mini_3535,SK6812_Mini_3535,77.27145,-7.14375,0,bottom
RGB5,SK6812_Mini_3535,SK6812_Mini_3535,103.82235,-7.14375,0,bottom
RGB6,SK6812_Mini_3535,SK6812_Mini_3535,130.37325,-7.14375,0,bottom
RGB7,SK6812_Mini_3535,SK6812_Mini_3535,156.92415,-7.14375,0,bottom
RGB8,SK6812_Mini_3535,SK6812_Mini_3535,183.47505,-7.14375,0,bottom
RGB9,SK6812_Mini_3535,SK6812_Mini_3535,210.02595,-7.14375,0,bottom
RGB10,SK6812_Mini_3535,SK6812_Mini_3535,236.57685,-7.14375,0,bottom
RGB11,SK6812_Mini_3535,SK6812_Mini_3535,263.12775,-7.14375,0,bottom
RGB12,SK6812_Mini_3535,SK6812_Mini_3535,256.675111,-65.484375,180,bottom
RGB13,SK6812_Mini_3535,SK6812_Mini_3535,232.171875,-65.484375,180,bottom
RGB14,SK6812_Mini_3535,SK6812_Mini_3535,211.93125,-65.484375,180,bottom
RGB15,SK6812_Mini_3535,SK6812_Mini_3535,185.7375,-65.484375,180,bottom
RGB16,SK6812_Mini_3535,SK6812_Mini_3535,160.4964,-65.484375,180,bottom
RGB17,SK6812_Mini_3535,SK6812_Mini_3535,29.765625,-65.484375,180,bottom
RGB18,SK6812_Mini_3535,SK6812_Mini_3535,55.959375,-65.484375,180,bottom
RGB19,SK6812_Mini_3535,SK6812_Mini_3535,82.153125,-65.484375,180,bottom
RGB20,SK6812_Mini_3535,SK6812_Mini_3535,107.3946,-65.484375,180,bottom
RGB21,SK6812_Mini_3535,SK6812_Mini_3535,133.9455,-65.484375,180,bottom
RGB22,SK6812_Mini_3535,SK6812_Mini_3535,5.953125,-65.484375,180,bottom
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,34.15,-29.294193,0,bottom
U1,XC6206PxxxMR-Regulator_Linear,SOT-23,11.304947,-26.692895,0,bottom
U2,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,19.65,-32.044193,180,bottom
Y1,8Mhz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,26.9,-29.794193,0,bottom
