Ref,Val,Package,PosX,PosY,Rot,Side
"MX87","7U | 6U","MXOnly-7U-ReversedStabilizers-NoLED",133.350111,-76.200084,0.000000,top
"MX88","1.5U","MXOnly-1.5U-NoLED",214.312679,-76.200083,0.000000,top
"MX89","1U","MXOnly-1U-NoLED",238.125199,-76.200084,0.000000,top
"MX90","1.5U","MXOnly-1.5U-NoLED",261.937718,-76.200083,0.000000,top
"MX107","2.25U","MXOnly-2.25U-NoLED",11.906249,-57.150000,0.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",202.374998,-86.200001,180.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",240.506251,-86.200001,180.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",66.818744,9.999999,0.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",133.350000,9.999999,0.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",200.168744,9.999999,0.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",254.937494,9.999999,0.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",133.350006,-86.200001,180.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",26.955751,-86.200001,180.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",64.325003,-86.200001,180.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-1slot-90deg",9.537000,9.999999,0.000000,top
